Date,SET,Value,Modern,Internet,2D
4/11/2025,1129.98,18738.57,36,84,88
4/11/2025,1128.66,34662.31,27,85,62
4/16/2025,1128.14,21550.77,70,93,40
4/16/2025,1138.90,41200.11,50,46,00
4/17/2025,1137.81,15465.74,21,86,15
4/17/2025,1141.28,29646.08,34,98,86
4/18/2025,1145.16,13789.27,51,47,69
4/18/2025,1150.95,27673.54,68,67,53
4/21/2025,1147.16,15405.07,05,38,65
4/21/2025,1134.71,32465.37,18,00,15
4/22/2025,1134.65,17824.64,23,18,54
4/22/2025,1144.05,35686.26,,09,56
4/23/2025,1156.81,20917.00,42,03,17
4/23/2025,1153.77,38224.25,01,57,74
4/24/2025,1150.40,23268.26,46,71,08
4/24/2025,1146.86,40586.79,68,40,66
4/25/2025,1157.04,17494.44,96,98,44
4/25/2025,1159.00,33120.92,10,00,00
4/28/2025,1161.70,15275.83,69,78,05
4/28/2025,1159.53,28459.22,43,68,39
4/29/2025,1158.10,15628.97,27,04,08
4/29/2025,1171.12,35334.16,42,49,24
4/30/2025,1181.52,24873.97,14,38,23
4/30/2025,1197.26,54369.45,27,29,69
5/2/2025,1201.22,27337.38,46,40,27
5/2/2025,1198.98,45633.02,33,09,83
5/6/2025,1196.09,21509.76,54,87,99
5/6/2025,1187.86,43577.28,22,00,67
5/7/2025,1207.89,24685.93,53,02,95
5/7/2025,1220.27,53984.70,05,66,74
5/8/2025,1212.84,21030.67,53,20,40
5/8/2025,1206.59,42698.89,79,85,98
5/9/2025,1200.92,18731.16,12,84,21
5/9/2025,1210.94,40958.44,08,65,48
5/13/2025,1219.76,29003.30,41,78,63
5/13/2025,1214.39,50869.98,58,60,99
5/14/2025,1211.21,23538.77,49,12,18
5/14/2025,1216.71,43111.85,89,24,11
5/15/2025,1199.19,24284.35,99,48,94
5/15/2025,1194.49,45794.74,25,14,94
5/16/2025,1203.44,17209.35,72,90,49
5/16/2025,1195.77,36714.07,16,11,74
5/19/2025,1193.62,20333.71,41,88,23
5/19/2025,1187.06,36743.01,10,32,63
5/20/2025,1189.42,22079.19,37,40,29
5/20/2025,1189.14,46960.04,77,06,40
5/21/2025,1190.81,18708.64,24,84,18
5/21/2025,1179.81,46877.46,57,26,17
5/22/2025,1178.04,20379.71,67,15,49
